name_TAP,priority_TAP,mag_TAP,tE_TAP,tE_err_TAP,exposureTime_TAP
MOA-2016-BLG-0070,high,15.5,0.006399,0.172511,
MOA-2016-BLG-0100,high,15.7,0.00056,0.023788,
MOA-2016-BLG-0113,high,18.2,0.122248,0.847006,
MOA-2016-BLG-0116,medium,19.6,0.003149,0.189306,
MOA-2016-BLG-0120,low,18.6,0.004998,1.429197,
MOA-2016-BLG-0138,low,17.5,0.099138,1.703967,300
MOA-2016-BLG-0142,low,21.4,4.90435,8.391555,
MOA-2016-BLG-0145,high,16.0,0.104526,0.488962,271
MOA-2016-BLG-0153,high,20.7,0.00026,0.089195,300
OGLE-2016-BLG-0195,low,16.5,0.063772,1.814992,
OGLE-2016-BLG-0197,low,15.0,0.13078,2.31201,
OGLE-2016-BLG-0216,low,17.4,0.140225,1.976152,
OGLE-2016-BLG-0220,low,18.1,0.133361,1.181824,
OGLE-2016-BLG-0281,low,18.1,3.530192,7.237209,300
OGLE-2016-BLG-0395,high,15.0,0.044949,0.153901,
OGLE-2016-BLG-0448,medium,18.0,0.02985,1.152344,
OGLE-2016-BLG-0467,low,17.9,0.032603,0.968235,
OGLE-2016-BLG-0506,high,18.0,0.503607,0.394071,
OGLE-2016-BLG-0508,high,19.1,0.015326,0.16604,
OGLE-2016-BLG-0510,low,16.9,0.266286,0.631208,
OGLE-2016-BLG-0511,low,18.2,0.110544,1.587705,
OGLE-2016-BLG-0514,high,20.2,0.07257,1.37873,
OGLE-2016-BLG-0522,low,17.1,0.026175,0.836554,300
OGLE-2016-BLG-0523,high,17.7,0.010634,0.095364,
OGLE-2016-BLG-0530,high,18.4,0.190138,2.347877,
OGLE-2016-BLG-0536,low,17.4,0.055499,0.956488,
OGLE-2016-BLG-0539,low,14.8,0.021643,0.274915,
OGLE-2016-BLG-0540,high,19.2,0.016421,0.420359,
OGLE-2016-BLG-0543,low,17.5,0.068627,0.549017,
OGLE-2016-BLG-0547,medium,15.4,0.477666,0.601521,
OGLE-2016-BLG-0550,low,16.4,0.074358,1.180386,
OGLE-2016-BLG-0557,high,15.3,0.002826,0.129839,132
OGLE-2016-BLG-0582,high,16.9,0.002523,0.063347,300
OGLE-2016-BLG-0589,low,16.1,0.10194,0.466951,290
OGLE-2016-BLG-0603,low,18.2,0.020979,0.097994,300
OGLE-2016-BLG-0611,high,19.9,0.008731,1.788849,300
OGLE-2016-BLG-0613,high,19.2,0.010058,0.624427,300
OGLE-2016-BLG-0615,high,17.7,0.067951,0.262688,300
OGLE-2016-BLG-0617,medium,19.7,0.036232,1.942273,300
OGLE-2016-BLG-0630,high,18.0,0.069361,1.705965,300
OGLE-2016-BLG-0637,low,18.6,0.011113,0.439754,300
OGLE-2016-BLG-0645,high,16.9,0.11141,0.965469,300
OGLE-2016-BLG-0647,high,18.6,0.076637,0.693425,300
OGLE-2016-BLG-0648,high,18.5,0.00495,3.10922,300
OGLE-2016-BLG-0650,medium,17.0,0.028821,0.979717,300
OGLE-2016-BLG-0659,medium,18.6,0.716382,5.46446,300
OGLE-2016-BLG-0663,low,19.0,0.307865,5.486663,300
